Candidate_id,Candidate,Constituency,Party,Age,Gender,Criminal_Cases,Serious_Criminal_Cases,Education,Total_Assets,liabilities,category
170,Dr. Shivaraj Patil,RAICHUR,BJP,52,MALE,0,No,Post Graduate,196791788,52665557,GENERAL
171,Basanagouda Daddal,RAICHUR RURAL (ST),INC,50,MALE,1,No,12th Pass,106206942,8731726,ST
172,S Suresh Kumar,RAJAJINAGAR,BJP,67,MALE,0,No,Graduate Professional,47813737,0,GENERAL
173,Munirathna,RAJARAJESHWARINAGAR,BJP,59,MALE,8,Yes,10th Pass,2936028925,1022190597,GENERAL
174,H. A. Iqbal Hussain,RAMANAGARAM,INC,62,MALE,5,Yes,Graduate,956503894,88254962,GENERAL
175,Ashok Pattan,RAMDURG,INC,72,MALE,0,No,Graduate,17880658,3681430,GENERAL
176,Prakash Koliwad,RANEBENNUR,INC,54,MALE,0,No,Graduate Professional,646462474,38233742,GENERAL
177,Aihole Duryodhan Mahalingappa,RAYBAG (SC),BJP,65,MALE,0,No,10th Pass,147133482,10000000,SC
178,Gurupadagouda Sanganagouda Patil,RON,INC,75,MALE,0,No,12th Pass,68302000,2382348,GENERAL
179,Gopala Krishna Beluru,SAGAR,INC,59,MALE,0,No,12th Pass,48030029,0,GENERAL
180,S Manjunatha,SAKALESHPUR (SC),BJP,41,MALE,0,No,10th Pass,63925113,18164398,SC
181,E. Tukaram,SANDUR (ST),INC,56,MALE,0,No,Post Graduate,28805985,8825000,ST
182,K. J. George,SARVAGNANAGAR,INC,73,MALE,2,Yes,Graduate,146810000,11000000,GENERAL
183,Vishwas Vasant Vaidya,SAUNDATTI YELLAMMA,INC,41,MALE,1,Yes,Graduate,42123113,14237007,GENERAL
184,Dr. Sharanprakash Rudrappa Patil,SEDAM,INC,55,MALE,3,No,Post Graduate,287095878,143053723,GENERAL
185,Sharanabasappa Darshanapur,SHAHAPUR,INC,63,MALE,0,No,Graduate Professional,152729887,9139612,GENERAL
186,N. A. Haris,SHANTINAGAR,INC,56,MALE,1,No,Post Graduate,4392099180,282956979,GENERAL
187,Basavaraj Bommai,SHIGGAON,BJP,63,MALE,0,No,Graduate Professional,521356863,59420772,GENERAL
188,Vijayendra Yediyurappa,SHIKARIPURA,BJP,47,MALE,2,Yes,Graduate Professional,1261878468,345200647,GENERAL
189,Channabasappa (Chenni),SHIMOGA,BJP,59,MALE,1,Yes,8th Pass,12098952,3230970,GENERAL
190,Sharada Puryanaik,SHIMOGA RURAL (SC),JD(S),52,FEMALE,0,No,10th Pass,30098390,13903581,SC
191,Dr.Chandru Lamani,SHIRAHATTI (SC),BJP,34,MALE,1,No,Post Graduate,61483532,40495379,SC
192,Rizwan Arshad,SHIVAJINAGAR,INC,43,MALE,4,No,Graduate,215163515,70653192,GENERAL
